Customer Id,First name,Middle Name,Last name ,Email-Id,Contact Number,Address 1,City,State and Pincode,Customer_allergic to,Aviod Allergic ingredients,Allergic_notes,Preference_Spice level,Preference_cooking level for meat,Preference_Cooking oil,Preference_notes,Resturant_name,Resturant_Address,Resturant_email,Login_id,Password,,,,,,
1,John,NULL,Smith,johnsmith@gmail.com,123-456-7890,123 Elm St,Bloomington,IN 47401,beef,beef,Not that severe,Less Spicy,Medium,Olive Oil,Use only extra virgin olive oil,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
2,Emily,Grace,Johnson,emily.j@gmail.com,987-654-3210,456 Oak Ave,Bloomington,IN 47404,coconut,coconut,Strictly avoid Ingredient,Medium Spicy,Rare,No Preference,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
3,Michael,NULL,Davis,mdavis@gmail.com,555-555-5555,789 Maple Ln,Bloomington,IN 47408,dairy,dairy,Not that severe,Very Spicy,Well Done,No Preference,No Preference,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
4,Sarah,Anne,Miller,sarahmiller@gmail.com,111-222-3333,321 Pine Dr,Bloomington,IN 47401,eggs,eggs,Strictly avoid Ingredient,Less Spicy,Medium,Coconut Oil,No red pepper,The Green Fork,"321 Maple Drive, Riverside, Indiana",greencuisine@freshmail.com,greenfork21,Fork@Green123,,,,,,
5,David,NULL,Wilson,dwilson@gmail.com,444-444-4444,987 Cedar St,Indianapolis,IN 46202,fish,fish,Not that severe,Medium Spicy,No Preference,Olive Oil,No Preference,Fire & Spice Grill,"567 Pine Lane, Hilltop, Indiana",firenspicegrill@eaterymail.com,spicegrill88,GrillFire$1,,,,,,
6,Jessica,Lynn,Thompson,jessica.t@gmail.com,999-888-7777,654 Walnut St,Bedford,IN 47421,gluten,gluten,Strictly avoid Ingredient,No Preference,Well Done,Vegetable Oil,No Preference,Seafood Cove,"890 Beach Road, Baytown, Indiana",seafoodcove@yummail.com,oceanlover,SeaCove2024!,,,,,,
7,Christopher,NULL,Garcia,cgarcia@gmail.com,777-888-9999,852 Rose Ave,Columbus,IN 47201,peanuts,peanuts,Strictly avoid Ingredient,Less Spicy,Medium,No Preference,No red pepper,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
8,Amanda,Marie,Lee,amanda.lee@gmail.com,333-222-1111,741 Magnolia St,Bloomington,IN 47404,pork,pork,Not that severe,Medium Spicy,Rare,Coconut Oil,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
9,Matthew,NULL,Clark,mclark@gmail.com,666-777-8888,369 Birch Ln,Ellettsville,IN 47429,sesame,sesame,Strictly avoid Ingredient,Very Spicy,Well Done,Olive Oil,No Preference,Burger Junction,"901 Bacon Avenue, Grillville,Indiana ",burgerjunction@fastfoodmail.com,burgerlover,JuicyBurger99!,,,,,,
10,Lauren,Elizabeth,White,lauren.white@gmail.com,222-333-4444,159 Dogwood Dr,Bloomington,IN 47408,soy,soy,Not that severe,No Preference,Medium,Vegetable Oil,No Preference,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
11,Ryan,NULL,Martinez,ryan.martinez@gmail.com,777-999-3333,753 Pine St,Nashville,TN 37203,treenuts,treenuts,Strictly avoid Ingredient,Medium Spicy,No Preference,No Preference,No Preference,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
12,Ashley,Nicole,Hall,ashley.hall@gmail.com,444-555-6666,258 Walnut Ave,Bloomington,IN 47404,No Preference,No Preference,No Preference,Very Spicy,Well Done,Coconut Oil,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
13,Justin,NULL,Young,justin.young@gmail.com,111-222-3333,654 Oak St,Indianapolis,IN 46204,dairy,dairy,Strictly avoid Ingredient,Less Spicy,Medium,No Preference,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
14,Stephanie,Ann,Carter,steph.carter@gmail.com,999-888-7777,357 Spruce St,Bloomington,IN 47401,No Preference,No Preference,No Preference,Medium Spicy,Rare,Vegetable Oil,No Preference,Seafood Cove,"890 Beach Road, Baytown, Indiana",seafoodcove@yummail.com,oceanlover,SeaCove2024!,,,,,,
15,Nicholas,NULL,Hernandez,nhernandez@gmail.com,333-444-5555,852 Elm St,Seymour,IN 47274,peanuts,peanuts,Strictly avoid Ingredient,Very Spicy,Well Done,No Preference,No red pepper,The Green Fork,"321 Maple Drive, Riverside, Indiana",greencuisine@freshmail.com,greenfork21,Fork@Green123,,,,,,
